n_estimators,max_depth,UA_train_avg,WA_train_avg,UA_val_avg,WA_val_avg,UA_test,WA_test
50,,100.0,100.0,69.86,71.94000000000001,61.1,60.6
50,2.0,77.03999999999999,78.04,62.55999999999999,65.35999999999999,70.7,72.7
50,5.0,95.55999999999999,95.74,66.52000000000001,69.2,59.2,60.6
50,7.0,99.24000000000001,99.26,69.47999999999999,71.4,65.4,66.7
50,10.0,100.0,100.0,71.38000000000001,73.32000000000001,62.0,60.6
50,20.0,100.0,100.0,69.86,71.94000000000001,61.1,60.6
100,,100.0,100.0,69.7,71.67999999999999,61.1,60.6
100,2.0,77.32000000000001,78.24,63.879999999999995,66.76,73.3,75.8
100,5.0,96.19999999999999,96.36,68.17999999999999,71.4,69.9,69.7
100,7.0,99.72,99.74,69.88,71.66,60.2,60.6
100,10.0,100.0,100.0,69.58,71.66,64.7,63.6
100,20.0,100.0,100.0,69.7,71.67999999999999,61.1,60.6
200,,100.0,100.0,70.35999999999999,72.22,58.5,57.6
200,2.0,77.82,78.76,64.86,67.56,79.5,81.8
200,5.0,96.53999999999999,96.72,68.72,70.83999999999999,61.8,63.6
200,7.0,99.78,99.8,69.85999999999999,71.66,63.7,63.6
200,10.0,100.0,100.0,69.82,71.64,58.5,57.6
200,20.0,100.0,100.0,70.35999999999999,72.22,58.5,57.6
300,,100.0,100.0,70.74,72.47999999999999,64.7,63.6
300,2.0,77.66,78.64000000000001,65.52,68.07999999999998,79.5,81.8
300,5.0,96.86000000000001,97.0,68.72,71.1,62.8,63.6
300,7.0,99.84,99.86,70.38,72.48,63.7,63.6
300,10.0,100.0,100.0,69.78,71.92,64.7,63.6
300,20.0,100.0,100.0,70.74,72.47999999999999,64.7,63.6
400,,100.0,100.0,71.03999999999999,72.74000000000001,64.7,63.6
400,2.0,78.11999999999999,79.04,65.29999999999998,67.84,79.5,81.8
400,5.0,96.7,96.86,68.52000000000001,70.83999999999999,62.8,63.6
400,7.0,99.84,99.86,69.91999999999999,71.94,67.3,66.7
400,10.0,100.0,100.0,70.11999999999999,72.48,64.7,63.6
400,20.0,100.0,100.0,71.03999999999999,72.74000000000001,64.7,63.6
