units1,units2,dropout,l2_reg,lr,batch,WA_val,WA_test
32,16,0.2,0.0001,0.0001,16,53.3,84.8
32,16,0.2,0.0001,0.0001,32,58.4,80.4
32,16,0.2,0.0001,0.0001,64,54.7,87.0
32,16,0.2,0.0001,0.0003,16,69.0,84.8
32,16,0.2,0.0001,0.0003,32,66.4,93.5
32,16,0.2,0.0001,0.0003,64,67.5,82.6
32,16,0.2,0.0001,0.001,16,63.6,87.0
32,16,0.2,0.0001,0.001,32,69.3,82.6
32,16,0.2,0.0001,0.001,64,66.7,91.3
32,16,0.2,0.001,0.0001,16,60.1,89.1
32,16,0.2,0.001,0.0001,32,54.1,84.8
32,16,0.2,0.001,0.0001,64,69.8,78.3
32,16,0.2,0.001,0.0003,16,67.2,87.0
32,16,0.2,0.001,0.0003,32,62.4,91.3
32,16,0.2,0.001,0.0003,64,68.7,84.8
32,16,0.2,0.001,0.001,16,64.4,91.3
32,16,0.2,0.001,0.001,32,72.9,87.0
32,16,0.2,0.001,0.001,64,64.4,91.3
32,16,0.2,0.01,0.0001,16,63.0,84.8
32,16,0.2,0.01,0.0001,32,66.1,84.8
32,16,0.2,0.01,0.0001,64,63.8,91.3
32,16,0.2,0.01,0.0003,16,69.8,91.3
32,16,0.2,0.01,0.0003,32,65.5,87.0
32,16,0.2,0.01,0.0003,64,65.5,73.9
32,16,0.2,0.01,0.001,16,70.4,91.3
32,16,0.2,0.01,0.001,32,70.7,84.8
32,16,0.2,0.01,0.001,64,65.0,91.3
32,16,0.3,0.0001,0.0001,16,60.7,80.4
32,16,0.3,0.0001,0.0001,32,58.2,87.0
32,16,0.3,0.0001,0.0001,64,52.1,82.6
32,16,0.3,0.0001,0.0003,16,68.1,82.6
32,16,0.3,0.0001,0.0003,32,66.1,84.8
32,16,0.3,0.0001,0.0003,64,65.0,87.0
32,16,0.3,0.0001,0.001,16,66.7,93.5
32,16,0.3,0.0001,0.001,32,65.6,84.8
32,16,0.3,0.0001,0.001,64,69.5,87.0
32,16,0.3,0.001,0.0001,16,60.4,93.5
32,16,0.3,0.001,0.0001,32,59.0,76.1
32,16,0.3,0.001,0.0001,64,51.3,80.4
32,16,0.3,0.001,0.0003,16,68.7,84.8
32,16,0.3,0.001,0.0003,32,66.7,89.1
32,16,0.3,0.001,0.0003,64,66.7,91.3
32,16,0.3,0.001,0.001,16,67.3,93.5
32,16,0.3,0.001,0.001,32,64.1,95.7
32,16,0.3,0.001,0.001,64,69.0,89.1
32,16,0.3,0.01,0.0001,16,56.7,87.0
32,16,0.3,0.01,0.0001,32,64.4,80.4
32,16,0.3,0.01,0.0001,64,55.0,93.5
32,16,0.3,0.01,0.0003,16,68.1,82.6
32,16,0.3,0.01,0.0003,32,66.9,91.3
32,16,0.3,0.01,0.0003,64,71.6,82.6
32,16,0.3,0.01,0.001,16,71.2,91.3
32,16,0.3,0.01,0.001,32,68.7,89.1
32,16,0.3,0.01,0.001,64,65.0,93.5
32,16,0.4,0.0001,0.0001,16,52.4,84.8
32,16,0.4,0.0001,0.0001,32,62.7,80.4
32,16,0.4,0.0001,0.0001,64,62.1,87.0
32,16,0.4,0.0001,0.0003,16,70.7,87.0
32,16,0.4,0.0001,0.0003,32,67.8,87.0
32,16,0.4,0.0001,0.0003,64,67.0,82.6
32,16,0.4,0.0001,0.001,16,71.6,84.8
32,16,0.4,0.0001,0.001,32,64.2,89.1
32,16,0.4,0.0001,0.001,64,68.1,87.0
32,16,0.4,0.001,0.0001,16,56.4,87.0
32,16,0.4,0.001,0.0001,32,59.5,87.0
32,16,0.4,0.001,0.0001,64,52.1,60.9
32,16,0.4,0.001,0.0003,16,56.7,80.4
32,16,0.4,0.001,0.0003,32,61.6,84.8
32,16,0.4,0.001,0.0003,64,64.7,73.9
32,16,0.4,0.001,0.001,16,63.3,95.7
32,16,0.4,0.001,0.001,32,69.2,91.3
32,16,0.4,0.001,0.001,64,68.7,89.1
32,16,0.4,0.01,0.0001,16,53.3,80.4
32,16,0.4,0.01,0.0001,32,54.2,84.8
32,16,0.4,0.01,0.0001,64,56.4,78.3
32,16,0.4,0.01,0.0003,16,67.2,87.0
32,16,0.4,0.01,0.0003,32,63.0,82.6
32,16,0.4,0.01,0.0003,64,71.3,84.8
32,16,0.4,0.01,0.001,16,71.3,89.1
32,16,0.4,0.01,0.001,32,69.5,89.1
32,16,0.4,0.01,0.001,64,67.3,93.5
32,16,0.5,0.0001,0.0001,16,60.7,73.9
32,16,0.5,0.0001,0.0001,32,63.3,91.3
32,16,0.5,0.0001,0.0001,64,59.0,65.2
32,16,0.5,0.0001,0.0003,16,64.4,84.8
32,16,0.5,0.0001,0.0003,32,65.0,89.1
32,16,0.5,0.0001,0.0003,64,63.6,89.1
32,16,0.5,0.0001,0.001,16,67.5,93.5
32,16,0.5,0.0001,0.001,32,67.2,89.1
32,16,0.5,0.0001,0.001,64,69.6,89.1
32,16,0.5,0.001,0.0001,16,60.2,89.1
32,16,0.5,0.001,0.0001,32,63.5,84.8
32,16,0.5,0.001,0.0001,64,65.3,65.2
32,16,0.5,0.001,0.0003,16,65.3,91.3
32,16,0.5,0.001,0.0003,32,64.4,91.3
32,16,0.5,0.001,0.0003,64,61.3,71.7
32,16,0.5,0.001,0.001,16,67.2,91.3
32,16,0.5,0.001,0.001,32,67.0,87.0
32,16,0.5,0.001,0.001,64,65.5,91.3
32,16,0.5,0.01,0.0001,16,57.3,84.8
32,16,0.5,0.01,0.0001,32,55.8,73.9
32,16,0.5,0.01,0.0001,64,56.1,87.0
32,16,0.5,0.01,0.0003,16,60.7,82.6
32,16,0.5,0.01,0.0003,32,64.1,89.1
32,16,0.5,0.01,0.0003,64,65.0,80.4
32,16,0.5,0.01,0.001,16,71.5,89.1
32,16,0.5,0.01,0.001,32,70.6,87.0
32,16,0.5,0.01,0.001,64,67.5,91.3
32,32,0.2,0.0001,0.0001,16,65.3,84.8
32,32,0.2,0.0001,0.0001,32,63.8,89.1
32,32,0.2,0.0001,0.0001,64,56.4,89.1
32,32,0.2,0.0001,0.0003,16,62.2,89.1
32,32,0.2,0.0001,0.0003,32,66.7,89.1
32,32,0.2,0.0001,0.0003,64,68.4,89.1
32,32,0.2,0.0001,0.001,16,71.8,87.0
32,32,0.2,0.0001,0.001,32,67.0,93.5
32,32,0.2,0.0001,0.001,64,66.7,91.3
32,32,0.2,0.001,0.0001,16,59.8,87.0
32,32,0.2,0.001,0.0001,32,62.1,89.1
32,32,0.2,0.001,0.0001,64,65.3,93.5
32,32,0.2,0.001,0.0003,16,65.3,93.5
32,32,0.2,0.001,0.0003,32,63.5,87.0
32,32,0.2,0.001,0.0003,64,65.8,82.6
32,32,0.2,0.001,0.001,16,71.5,91.3
32,32,0.2,0.001,0.001,32,66.1,89.1
32,32,0.2,0.001,0.001,64,67.0,89.1
32,32,0.2,0.01,0.0001,16,64.4,87.0
32,32,0.2,0.01,0.0001,32,57.0,78.3
32,32,0.2,0.01,0.0001,64,56.7,84.8
