MFCC_mean_1,MFCC_mean_2,MFCC_mean_3,MFCC_mean_4,MFCC_mean_5,MFCC_mean_6,MFCC_mean_7,MFCC_mean_8,MFCC_mean_9,MFCC_mean_10,MFCC_mean_11,MFCC_mean_12,MFCC_mean_13,MFCC_std_1,MFCC_std_2,MFCC_std_3,MFCC_std_4,MFCC_std_5,MFCC_std_6,MFCC_std_7,MFCC_std_8,MFCC_std_9,MFCC_std_10,MFCC_std_11,MFCC_std_12,MFCC_std_13,F0_mean,F0_std,label,gender,filename,speaker
-0.956699046,-0.036739575,1.04533431,-0.061901314,0.590561561,0.198754903,0.40404218,0.629095569,0.367392622,-0.049592385,-0.501527362,-0.437511455,-0.316864473,1.778959784,0.52661459,0.38844943,0.071427359,0.712633498,0.976668254,-0.149168043,0.445244396,0.462502483,0.142902374,1.453865664,2.271287959,-0.196001788,0.712676031,-0.414327947,lie,F,trial_lie_001_speakerF_segment01.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FF9940>
0.267227821,-0.17109935,1.144806083,0.479055677,-1.140029015,-1.168619805,-0.570614561,-0.960891996,-0.502991413,-0.671940784,-0.25528546,-0.541111058,-1.013443264,-0.341494055,1.813747802,1.226885391,1.888827499,0.078191434,1.780110792,0.521156223,2.03984508,0.349027546,1.784986209,1.041328707,0.921569435,-0.249310101,0.959234291,-0.127330162,lie,F,trial_lie_002_speakerF_segment01.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FF9DA0>
0.216820638,0.597268193,1.119960921,0.000874755,-1.046281866,-0.73885365,0.050669901,0.236987906,0.138044076,-0.472399808,-0.043581247,-0.187499921,-0.163992321,-0.386358253,1.401871015,1.418150616,1.34597439,1.626313315,1.118678705,0.649866296,2.236416228,1.440559015,2.210793736,0.92871538,1.919877659,0.395809236,0.683987371,1.237811761,lie,F,trial_lie_002_speakerF_segment02.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FF9E40>
0.227312827,-0.064748312,0.577188986,0.153393914,-1.041523843,-1.265313408,-0.973994455,-0.679329273,-0.143771749,-0.751480463,-0.389114531,-0.509529017,-1.117812189,-0.361935756,1.89289398,1.796025825,1.296784899,-0.129354887,1.444400566,0.94088049,1.532111075,0.495654261,1.172215299,0.430922525,1.197660637,0.596680244,0.821739715,1.19379542,lie,F,trial_lie_002_speakerF_segment03.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FF9EE0>
0.332781392,-0.200719882,0.562356924,-0.099516054,-1.169449872,-1.089954923,-0.498636632,-0.655422568,-0.802614354,-0.836840634,-0.385750809,-0.311302235,-1.021493783,-0.344500636,1.473749042,1.490341489,1.151057482,0.716002881,1.496106904,0.514336689,0.791070925,0.053259016,1.246943855,-0.644130647,0.922138882,-0.192076983,0.988160892,-0.331282906,lie,F,trial_lie_002_speakerF_segment04.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FF9F80>
0.186859401,-0.109788257,0.491255094,-0.283581471,-1.159539168,-0.939495575,-0.246601499,-0.577452053,-0.011637232,-0.194208311,0.133926865,-0.308117158,-0.800458949,-0.322477716,1.699565398,1.444652093,1.839783393,1.932140155,1.182713212,-0.061333997,0.941974859,0.095892253,1.115834858,0.335959013,1.291101522,0.675688482,1.141197256,0.184487423,lie,F,trial_lie_002_speakerF_segment05.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FFA020>
0.201131386,0.252893473,1.273048864,-0.022851414,-1.04022023,-1.157836415,-0.725678232,-0.619454276,-0.510124924,-1.190413054,-0.73351588,-0.679577061,-0.966250893,-0.368598113,1.828439628,1.280300677,0.761172423,1.242314612,0.7409438,-0.89306756,0.990848199,-0.37007617,1.549937408,-0.58921627,0.967159838,-0.391126539,0.574491452,0.784968377,lie,F,trial_lie_002_speakerF_segment06.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FFA0C0>
0.283535185,0.46784123,0.63008453,-0.144174303,-1.128187424,-0.924073114,-0.262851198,-0.284421914,-0.250302239,-1.249806866,-0.765802635,-1.024776065,-1.051240579,-0.393228333,1.33760197,2.304556244,0.463492741,0.50341648,0.727746546,-0.374674662,2.044077543,0.027607772,1.224089006,-0.081904483,1.03985082,0.124664793,0.846497681,-0.617424235,lie,F,trial_lie_002_speakerF_segment07.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FFA160>
0.286612177,0.156609307,1.476243864,0.120584901,-1.304834467,-1.522362561,-0.715282263,-0.155044854,-0.371233755,-1.10998367,-0.678047436,-0.487628345,-0.916578732,-0.445419531,1.617848004,1.54550641,1.38300835,0.570426493,0.63304972,0.128658949,1.602967466,-0.536039297,1.669880755,-0.227040999,0.823511843,-0.455721668,0.801329499,0.844513314,lie,F,trial_lie_002_speakerF_segment08.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FFA200>
0.154954691,0.211054223,1.445775251,0.24562078,-1.023904518,-1.313230717,-0.563030538,-0.34939968,-0.448298185,-1.099905311,-0.743954831,-0.631293856,-0.968913042,-0.396892445,1.416392595,1.346933125,0.850443166,0.56522826,0.788083184,0.127423511,1.499053885,-0.658540758,1.735627305,-0.038502237,1.715438483,-0.177062737,0.618599811,0.807146084,lie,F,trial_lie_002_speakerF_segment09.wav,<function <lambda>.<locals>.<lambda> at 0x0000026A71FFA2A0>
