units1,units2,dropout,l2_reg,lr,batch,train_acc,val_acc,test_acc
128,128,0.2,0.01,0.001,16,0.9642857313156128,0.75,0.6341463327407837
32,64,0.3,0.01,0.001,64,0.9285714030265808,0.75,0.6097561120986938
128,128,0.2,0.01,0.0003,16,0.9607142806053162,0.7236841917037964,0.6829268336296082
64,128,0.5,0.001,0.0003,32,0.7678571343421936,0.7236841917037964,0.6341463327407837
256,128,0.2,0.0001,0.0003,32,0.9357143044471741,0.7631579041481018,0.7317073345184326
32,128,0.2,0.0001,0.001,64,0.9142857193946838,0.7368420958518982,0.6097561120986938
128,32,0.5,0.01,0.0003,32,0.8607142567634583,0.7236841917037964,0.6341463327407837
128,32,0.4,0.01,0.0001,64,0.7785714268684387,0.6973684430122375,0.5853658318519592
32,64,0.4,0.0001,0.0001,64,0.6678571701049805,0.7631579041481018,0.5365853905677795
64,128,0.2,0.001,0.0003,32,0.8428571224212646,0.7368420958518982,0.5609756112098694
32,32,0.2,0.001,0.001,64,0.8178571462631226,0.7105262875556946,0.5853658318519592
256,16,0.5,0.01,0.001,32,0.9178571701049805,0.7368420958518982,0.6829268336296082
32,128,0.3,0.001,0.0003,32,0.800000011920929,0.7763158082962036,0.6585366129875183
64,32,0.5,0.001,0.0001,64,0.6928571462631226,0.6578947305679321,0.6341463327407837
64,32,0.5,0.001,0.0003,32,0.7178571224212646,0.6578947305679321,0.6585366129875183
256,32,0.4,0.01,0.0003,64,0.8928571343421936,0.7894737124443054,0.7560975551605225
256,16,0.3,0.0001,0.0001,32,0.8035714030265808,0.75,0.6097561120986938
128,16,0.5,0.001,0.0001,16,0.6607142686843872,0.7236841917037964,0.6585366129875183
32,16,0.4,0.0001,0.0001,16,0.5857142806053162,0.5263158082962036,0.4878048896789551
128,16,0.5,0.0001,0.001,64,0.7964285612106323,0.7894737124443054,0.6097561120986938
128,16,0.5,0.01,0.001,16,0.8785714507102966,0.7236841917037964,0.5853658318519592
128,16,0.3,0.01,0.0003,16,0.8500000238418579,0.6842105388641357,0.5609756112098694
256,64,0.2,0.001,0.0001,64,0.8892857432365417,0.7368420958518982,0.6829268336296082
128,32,0.5,0.0001,0.001,32,0.8642857074737549,0.7368420958518982,0.5365853905677795
128,64,0.2,0.01,0.0001,64,0.8785714507102966,0.6842105388641357,0.6829268336296082
64,64,0.2,0.0001,0.0003,64,0.8464285731315613,0.6973684430122375,0.6341463327407837
128,32,0.4,0.01,0.0001,64,0.7714285850524902,0.7105262875556946,0.46341463923454285
128,32,0.3,0.0001,0.001,64,0.9107142686843872,0.75,0.7317073345184326
256,64,0.2,0.0001,0.0003,16,0.8928571343421936,0.75,0.6341463327407837
128,64,0.2,0.01,0.001,16,0.9392856955528259,0.7894737124443054,0.8048780560493469
256,16,0.5,0.01,0.001,64,0.9285714030265808,0.7368420958518982,0.6097561120986938
64,128,0.3,0.001,0.0001,32,0.7857142686843872,0.6842105388641357,0.5853658318519592
32,16,0.3,0.001,0.0003,64,0.7785714268684387,0.6578947305679321,0.5121951103210449
256,32,0.4,0.0001,0.001,32,0.9071428775787354,0.7236841917037964,0.6829268336296082
32,16,0.2,0.01,0.0003,16,0.8428571224212646,0.7105262875556946,0.5609756112098694
256,16,0.2,0.01,0.001,32,0.9750000238418579,0.75,0.707317054271698
256,64,0.2,0.001,0.0001,16,0.8535714149475098,0.7368420958518982,0.6341463327407837
128,32,0.5,0.01,0.001,32,0.9035714268684387,0.75,0.6829268336296082
256,128,0.5,0.0001,0.0001,32,0.7964285612106323,0.7763158082962036,0.6341463327407837
32,32,0.5,0.001,0.001,32,0.7749999761581421,0.6842105388641357,0.5121951103210449
128,16,0.2,0.0001,0.0001,64,0.7857142686843872,0.75,0.7317073345184326
32,32,0.3,0.001,0.001,16,0.7607142925262451,0.8026315569877625,0.5365853905677795
256,16,0.2,0.01,0.0003,32,0.9607142806053162,0.7631579041481018,0.707317054271698
32,128,0.3,0.001,0.001,64,0.8535714149475098,0.7236841917037964,0.6097561120986938
128,128,0.4,0.0001,0.001,32,0.8857142925262451,0.75,0.7560975551605225
256,16,0.5,0.001,0.0003,32,0.7964285612106323,0.7236841917037964,0.6829268336296082
128,64,0.5,0.0001,0.0001,64,0.6392857432365417,0.6842105388641357,0.6585366129875183
64,128,0.2,0.01,0.001,64,0.9857142567634583,0.7763158082962036,0.707317054271698
64,64,0.4,0.01,0.001,16,0.9071428775787354,0.7236841917037964,0.7317073345184326
32,128,0.5,0.01,0.0003,16,0.8107143044471741,0.7236841917037964,0.5365853905677795
128,128,0.2,0.0001,0.0003,64,0.925000011920929,0.7236841917037964,0.6585366129875183
128,32,0.3,0.01,0.001,32,0.9571428298950195,0.7631579041481018,0.6829268336296082
256,16,0.5,0.0001,0.0003,16,0.7464285492897034,0.7236841917037964,0.6829268336296082
256,32,0.5,0.0001,0.0001,64,0.7464285492897034,0.7236841917037964,0.6341463327407837
128,16,0.2,0.01,0.001,64,0.9821428656578064,0.7368420958518982,0.6341463327407837
256,128,0.3,0.0001,0.001,16,0.9285714030265808,0.75,0.7317073345184326
256,128,0.3,0.001,0.001,32,0.9642857313156128,0.6973684430122375,0.7317073345184326
32,64,0.2,0.0001,0.0003,32,0.8107143044471741,0.7763158082962036,0.5609756112098694
64,32,0.3,0.01,0.0001,16,0.8035714030265808,0.6842105388641357,0.6585366129875183
256,16,0.5,0.0001,0.0003,16,0.8178571462631226,0.7236841917037964,0.7317073345184326
256,128,0.5,0.01,0.001,16,0.9428571462631226,0.75,0.6829268336296082
256,16,0.5,0.01,0.001,32,0.9214285612106323,0.7763158082962036,0.6585366129875183
128,32,0.3,0.001,0.0003,32,0.8392857313156128,0.7368420958518982,0.5853658318519592
32,64,0.3,0.01,0.001,32,0.8821428418159485,0.7894737124443054,0.6585366129875183
32,32,0.2,0.01,0.0001,16,0.800000011920929,0.6842105388641357,0.7560975551605225
256,16,0.5,0.01,0.001,16,0.9035714268684387,0.6973684430122375,0.707317054271698
256,16,0.5,0.001,0.0001,32,0.7392857074737549,0.75,0.5853658318519592
32,32,0.4,0.0001,0.0001,16,0.6964285969734192,0.6842105388641357,0.46341463923454285
32,32,0.2,0.01,0.001,16,0.9178571701049805,0.7631579041481018,0.7804877758026123
256,64,0.2,0.0001,0.001,16,0.9571428298950195,0.6973684430122375,0.7804877758026123
256,64,0.5,0.001,0.0001,32,0.75,0.75,0.5609756112098694
128,32,0.3,0.01,0.0003,32,0.9321428537368774,0.75,0.707317054271698
256,64,0.3,0.01,0.0003,64,0.9357143044471741,0.7368420958518982,0.6341463327407837
128,32,0.3,0.001,0.0001,16,0.7464285492897034,0.7236841917037964,0.6097561120986938
32,64,0.3,0.01,0.0001,32,0.7428571581840515,0.8026315569877625,0.5853658318519592
128,32,0.4,0.001,0.0001,16,0.7071428298950195,0.7236841917037964,0.5853658318519592
256,32,0.4,0.0001,0.0001,16,0.7678571343421936,0.7631579041481018,0.7560975551605225
256,128,0.3,0.001,0.001,64,0.9785714149475098,0.7763158082962036,0.7317073345184326
128,128,0.3,0.001,0.001,64,0.9428571462631226,0.7368420958518982,0.7560975551605225
64,64,0.2,0.001,0.001,32,0.9107142686843872,0.75,0.7804877758026123
32,32,0.3,0.001,0.0003,16,0.7214285731315613,0.6315789222717285,0.6341463327407837
256,32,0.3,0.01,0.0003,64,0.9392856955528259,0.7894737124443054,0.707317054271698
256,16,0.2,0.0001,0.0001,64,0.8607142567634583,0.7236841917037964,0.6585366129875183
256,32,0.2,0.001,0.001,64,0.9750000238418579,0.7368420958518982,0.6097561120986938
128,128,0.5,0.0001,0.0003,32,0.7928571701049805,0.7105262875556946,0.5853658318519592
64,64,0.2,0.01,0.001,32,0.949999988079071,0.7236841917037964,0.7317073345184326
128,32,0.2,0.001,0.0001,32,0.800000011920929,0.7236841917037964,0.707317054271698
