n_estimators,max_depth,min_samples_leaf,max_features,cv_train_acc,cv_val_acc,train_acc,val_acc,test_acc
200,20.0,1,,1.0,0.7342203276175878,1.0,0.7105263157894737,0.5853658536585366
200,20.0,1,sqrt,1.0,0.7344456365552257,1.0,0.6842105263157895,0.6585365853658537
200,5.0,5,,0.9332306127637935,0.7187378101350704,0.9107142857142857,0.7236842105263158,0.5609756097560976
200,10.0,10,sqrt,0.8797981184846174,0.7306648146374174,0.8785714285714286,0.6973684210526315,0.6341463414634146
500,20.0,10,,0.8942705314009661,0.7220664814637416,0.8892857142857142,0.7236842105263158,0.5365853658536586
100,,2,log2,0.9991304347826088,0.7413392087364691,1.0,0.6842105263157895,0.7073170731707317
100,5.0,10,sqrt,0.8805054665649632,0.710963119072708,0.85,0.6842105263157895,0.6097560975609756
50,20.0,2,log2,1.0,0.7383896924992814,1.0,0.7105263157894737,0.7560975609756098
50,20.0,1,sqrt,1.0,0.7282233930453108,1.0,0.7105263157894737,0.6585365853658537
200,10.0,5,log2,0.951069921179761,0.7409755723728326,0.9535714285714286,0.6973684210526315,0.6829268292682927
