MFCC_mean_1          ,MFCC_mean_2          ,MFCC_mean_3           ,MFCC_mean_4          ,MFCC_mean_5           ,MFCC_mean_6           ,MFCC_mean_7          ,MFCC_mean_8           ,MFCC_mean_9          ,MFCC_mean_10         ,MFCC_mean_11         ,MFCC_mean_12         ,MFCC_mean_13         ,MFCC_std_1          ,MFCC_std_2           ,MFCC_std_3            ,MFCC_std_4            ,MFCC_std_5           ,MFCC_std_6           ,MFCC_std_7           ,MFCC_std_8           ,MFCC_std_9           ,MFCC_std_10          ,MFCC_std_11           ,MFCC_std_12           ,MFCC_std_13           ,F0_mean              ,F0_std                ,label,gender
-0.956699046,-0.036739575,1.04533431,-0.061901314,0.590561561,0.198754903,0.40404218,0.629095569,0.367392622,-0.049592385,-0.501527362,-0.437511455,-0.316864473,1.778959784,0.52661459,0.38844943,0.071427356,0.712633496,0.976668252,-0.149168043,0.445244399,0.462502484,0.142902376,1.453865665,2.271287957,-0.196001788,0.712676031,-0.414327948, lie  , F     
0.267227821,-0.17109935,1.144806083,0.479055677,-1.140029015,-1.168619805,-0.570614561,-0.960891997,-0.502991413,-0.671940784,-0.255285459,-0.541111058,-1.013443265,-0.341494055,1.813747801,1.226885391,1.888827497,0.078191437,1.78011079,0.521156222,2.039845077,0.349027546,1.784986207,1.041328703,0.921569435,-0.249310102,0.959234291,-0.127330162, lie  , F     
0.216820637,0.597268193,1.119960921,0.000874755,-1.046281866,-0.73885365,0.050669902,0.236987906,0.138044076,-0.472399809,-0.043581247,-0.187499921,-0.163992321,-0.386358253,1.401871017,1.418150616,1.345974392,1.626313314,1.118678703,0.649866298,2.23641623,1.440559017,2.210793739,0.928715383,1.919877661,0.395809236,0.68398737,1.237811761, lie  , F     
0.227312827,-0.064748312,0.577188986,0.153393914,-1.041523843,-1.265313408,-0.973994455,-0.679329273,-0.143771749,-0.751480463,-0.389114532,-0.509529017,-1.117812188,-0.361935756,1.892893982,1.796025824,1.296784899,-0.129354886,1.444400566,0.940880488,1.532111074,0.495654261,1.172215302,0.430922525,1.197660637,0.596680244,0.821739714,1.19379542, lie  , F     
0.332781392,-0.200719882,0.562356924,-0.099516054,-1.169449872,-1.089954922,-0.498636632,-0.655422567,-0.802614355,-0.836840634,-0.385750809,-0.311302235,-1.021493783,-0.344500636,1.473749044,1.490341489,1.151057483,0.716002879,1.496106901,0.51433669,0.791070925,0.053259018,1.246943857,-0.644130647,0.922138885,-0.192076982,0.988160891,-0.331282906, lie  , F     
0.186859401,-0.109788257,0.491255094,-0.283581471,-1.159539167,-0.939495576,-0.246601498,-0.577452054,-0.011637232,-0.19420831,0.133926865,-0.308117158,-0.800458948,-0.322477716,1.699565399,1.444652094,1.839783394,1.932140155,1.182713213,-0.061333996,0.941974861,0.095892251,1.115834855,0.335959015,1.291101519,0.675688486,1.141197256,0.184487423, lie  , F     
0.201131385,0.252893473,1.273048864,-0.022851414,-1.04022023,-1.157836415,-0.725678231,-0.619454276,-0.510124923,-1.190413055,-0.73351588,-0.67957706,-0.966250892,-0.368598113,1.82843963,1.280300677,0.761172425,1.242314611,0.7409438,-0.893067562,0.9908482,-0.370076172,1.549937407,-0.58921627,0.967159839,-0.391126538,0.574491452,0.784968377, lie  , F     
0.283535185,0.46784123,0.63008453,-0.144174303,-1.128187424,-0.924073114,-0.262851198,-0.284421914,-0.250302239,-1.249806866,-0.765802634,-1.024776066,-1.051240578,-0.393228333,1.33760197,2.304556246,0.463492743,0.503416479,0.727746548,-0.374674661,2.044077544,0.027607774,1.224089006,-0.081904479,1.039850823,0.124664793,0.846497681,-0.617424235, lie  , F     
0.286612177,0.156609307,1.476243864,0.120584901,-1.304834467,-1.52236256,-0.715282263,-0.155044854,-0.371233755,-1.109983671,-0.678047436,-0.487628346,-0.916578732,-0.445419531,1.617848002,1.545506407,1.383008349,0.570426493,0.63304972,0.128658948,1.602967468,-0.536039294,1.669880755,-0.227041,0.823511844,-0.455721668,0.801329499,0.844513314, lie  , F     
0.154954691,0.211054223,1.445775251,0.24562078,-1.023904517,-1.313230718,-0.563030539,-0.34939968,-0.448298185,-1.099905312,-0.743954831,-0.631293857,-0.968913043,-0.396892446,1.416392594,1.346933124,0.850443166,0.56522826,0.788083184,0.12742351,1.499053884,-0.658540761,1.735627302,-0.038502235,1.715438482,-0.177062737,0.61859981,0.807146084, lie  , F     
