kernel,C,gamma,degree,train_acc,val_acc,test_acc
poly,100.0,scale,4,0.9892857142857143,0.7105263157894737,0.8048780487804879
poly,100.0,scale,2,1.0,0.6842105263157895,0.6341463414634146
poly,1.0,scale,4,0.8821428571428571,0.7105263157894737,0.7317073170731707
poly,10.0,auto,2,0.9678571428571429,0.6842105263157895,0.7073170731707317
poly,1.0,scale,3,0.8928571428571429,0.7105263157894737,0.6341463414634146
rbf,1.0,auto,3,0.925,0.6973684210526315,0.7317073170731707
linear,0.1,auto,3,0.8357142857142857,0.6973684210526315,0.4878048780487805
rbf,1.0,scale,3,0.925,0.6973684210526315,0.7317073170731707
linear,0.1,scale,3,0.8357142857142857,0.6973684210526315,0.4878048780487805
poly,10.0,auto,4,0.9642857142857143,0.6973684210526315,0.7804878048780488
